0,3.223,2.743,2.206,0.31,1.964,1.74564,2.01384,3.322,1.62851,4.50821,3.57214
3.223,0,5.966,1.01701,3.533,5.187,1.63365,3.89271,2.50202,2.0988,6.59173,4.04024
2.743,5.966,0,4.949,2.433,0.779001,4.44279,3.31551,5.61113,4.18722,4.12802,5.1109
2.206,1.01701,4.949,0,2.516,4.17,0.736384,3.06563,2.3478,1.26643,5.82152,3.59709
0.31,3.533,2.433,2.516,0,1.654,2.04435,2.02122,3.54859,1.89198,4.38162,3.67641
1.964,5.187,0.779001,4.17,1.654,0,3.67005,2.73799,4.91447,3.432,4.056,4.56111
1.74564,1.63365,4.44279,0.736384,2.04435,3.67005,0,2.33009,1.96056,0.533349,5.08521,2.96774
2.01384,3.89271,3.31551,3.06563,2.02122,2.73799,2.33009,0,2.48514,1.8106,2.76563,1.8244
3.322,2.50202,5.61113,2.3478,3.54859,4.91447,1.96056,2.48514,0,1.74383,4.65281,1.67627
1.62851,2.0988,4.18722,1.26643,1.89198,3.432,0.533349,1.8106,1.74383,0,4.55696,2.50138
4.50821,6.59173,4.12802,5.82152,4.38162,4.056,5.08521,2.76563,4.65281,4.55696,0,3.1018
3.57214,4.04024,5.1109,3.59709,3.67641,4.56111,2.96774,1.8244,1.67627,2.50138,3.1018,0
